Planet: Jupiter
Frame: Laplace
Epoch: -20/100*Constants.CENTURY
Io	421800.	0.0041	84.129	342.021	0.036	43.977	203.4889583	1.769	1.625	7.420	268.057	64.495	0.000	11
Europa	671100.	0.0094	88.970	171.016	0.466	219.106	101.3747242	3.551	1.394	30.184	268.084	64.506	0.016	11
Ganymede	1070400.	0.0013	192.417	317.540	0.177	63.552	50.3176072	7.155	63.549	132.654	268.168	64.543	0.068	11
Callisto	1882700.	0.0074	52.643	181.408	0.192	298.848	21.5710728	16.69	205.75	338.82	268.639	64.749	0.356	11
Amalthea	181400.	0.0032	155.873	185.194	0.380	108.946	722.6317143	0.498	0.196	0.393	268.057	64.495	0.000	11
Thebe	221900.	0.0176	234.269	135.956	1.080	235.694	533.7002568	0.675	0.398	0.797	268.057	64.495	0.000	11
Adrastea	129000.	0.0018	328.047	135.673	0.054	228.378	1206.9988064	0.298	0.058	0.116	268.057	64.496	0.000	11
Metis	128000.	0.0012	297.177	276.047	0.019	146.912	1221.2545982	0.295	0.057	0.115	268.057	64.496	0.000	11

Frame: Ecliptic
Himalia	11460000.	0.1586	331.234	66.874	28.612	64.798	1.4367562	250.56	139.38	292.57	18
Elara	11740000.	0.2108	142.001	330.985	27.945	115.511	1.3865315	259.64	128.07	265.30	18
Pasiphae	23629000.	0.4062	169.226	279.769	151.413	314.223	0.4841223	743.61	81.20	81.17	18
Sinope	23942000.	0.2552	354.541	165.352	158.189	309.199	0.4743772	758.89	88.72	87.40	18
Lysithea	11717000.	0.1161	49.670	330.475	27.663	5.326	1.3888891	259.20	131.19	292.04	18
Carme	23401000.	0.2546	26.416	233.375	164.994	114.854	0.4903501	734.17	80.98	88.32	18
Ananke	21254000.	0.2332	95.772	253.384	148.693	15.959	0.5716125	629.80	144.92	110.12	18
Leda	11164000.	0.1624	269.393	230.352	27.882	219.181	1.4942407	240.93	144.79	301.94	18
Callirrhoe	24099000.	0.2796	23.909	107.962	147.080	283.104	0.4744232	758.82	120.06	89.03	18
Themisto	7504000.	0.2435	217.147	313.051	42.977	192.288	2.7688033	130.02	686.41	528.39	18
Megaclite	23814000.	0.4156	288.882	135.272	152.781	280.575	0.4781658	752.88	76.90	79.23	18
Taygete	23363000.	0.2523	231.540	94.756	165.253	305.114	0.4915209	732.42	81.04	88.59	18
Chaldene	23181000.	0.2503	243.878	267.454	165.155	134.240	0.4974208	723.73	81.66	89.52	18
Harpalyke	21106000.	0.2296	134.505	215.956	148.759	29.834	0.5775515	623.32	147.17	111.64	18
Kalyke	23565000.	0.2466	218.934	255.702	165.121	43.864	0.4851490	742.04	80.76	87.67	18
Iocaste	21272000.	0.2152	64.727	213.675	149.411	269.613	0.5699784	631.60	145.78	111.18	18
Erinome	23286000.	0.2655	10.274	267.136	164.914	317.497	0.4941719	728.49	80.51	88.33	18
Isonoe	23231000.	0.2471	116.879	124.941	165.250	130.961	0.4956884	726.26	81.80	89.52	18
Praxidike	21148000.	0.2274	190.862	117.480	148.885	280.956	0.5756381	625.39	144.77	111.16	18
Autonoe	24037000.	0.3152	54.793	142.035	152.364	272.817	0.4730563	761.01	92.33	85.00	18
Thyone	21197000.	0.2307	97.023	238.786	148.595	233.022	0.5739872	627.19	147.58	110.93	18
Hermippe	21297000.	0.2095	300.836	131.854	150.740	330.393	0.5679040	633.91	136.92	110.64	18
Aitne	23317000.	0.2627	99.401	105.000	165.048	8.679	0.4930702	730.12	80.36	88.19	18
Eurydome	23146000.	0.2755	223.631	287.689	150.271	302.470	0.5018735	717.31	111.58	93.30	18
Euanthe	21039000.	0.2320	320.635	333.101	148.915	254.297	0.5802269	620.45	144.52	111.71	18
Euporie	19336000.	0.1438	89.904	70.243	145.740	60.143	0.6537221	550.69	337063.88	139.45	18
Orthosie	21158000.	0.2807	216.805	204.517	146.004	221.949	0.5782402	622.58	142.35	107.53	18
Sponde	23790000.	0.3112	61.885	174.044	150.997	116.363	0.4810760	748.32	98.08	87.01	18
Kale	23306000.	0.2597	44.233	212.853	164.944	60.170	0.4934152	729.61	80.91	88.57	18
Pasithee	23091000.	0.2682	231.920	215.443	165.117	327.729	0.5003695	719.47	80.82	89.25	18
Hegemone	23575000.	0.3445	197.144	236.950	154.164	318.902	0.4866038	739.82	85.66	84.87	18
Mneme	21033000.	0.2258	40.542	256.860	148.585	13.467	0.5806001	620.05	148.06	112.26	18
Aoede	23974000.	0.4325	59.739	197.676	158.272	173.392	0.4728089	761.41	69.17	76.83	18
Thelxinoe	21160000.	0.2201	313.183	268.013	151.390	169.962	0.5732248	628.03	130.58	110.42	18
Arche	23352000.	0.2495	171.632	39.713	165.015	339.210	0.4918707	731.90	81.40	88.73	18
Kallichore	23276000.	0.2509	9.836	55.937	165.102	30.339	0.4943462	728.23	81.56	89.16	18
Helike	21065000.	0.1498	299.482	43.659	154.842	89.749	0.5747808	626.33	127.40	114.52	18
Carpo	17056000.	0.4317	90.372	337.062	51.624	50.597	0.7889862	456.28	711550.25	112.82	18
Eukelade	23323000.	0.2619	309.685	204.846	165.265	193.558	0.4929260	730.33	80.24	88.16	18
Cyllene	23800000.	0.4155	187.429	128.345	150.336	252.611	0.4787365	751.98	80.19	79.71	18
Kore	24482000.	0.3313	138.071	33.416	145.173	313.355	0.4634134	776.84	108.39	84.47	18
Herse	23408000.	0.2541	330.295	141.667	164.964	295.702	0.4901154	734.52	80.98	88.27	18
S/2000 J 11	12297000.	0.2320	173.544	309.734	28.631	294.497	1.2939791	278.21	117.58	241.93	18
S/2003 J 2	28347000.	0.4100	165.201	237.932	157.291	344.782	0.3671484	980.53	60.25	62.87	18
S/2003 J 3	20221000.	0.1969	66.338	311.780	147.547	231.489	0.6165779	583.87	181.96	122.74	18
S/2003 J 4	23929000.	0.3624	197.401	260.480	149.589	179.131	0.4766663	755.25	90.17	82.96	18
S/2003 J 5	23495000.	0.2476	90.066	336.636	165.248	176.683	0.4873118	738.75	80.95	88.10	18
S/2003 J 9	23385000.	0.2632	292.662	348.415	165.047	44.321	0.4909185	733.32	80.27	87.93	18
S/2003 J 10	23042000.	0.4299	170.833	258.937	165.073	151.911	0.5026172	716.25	68.06	80.34	18
S/2003 J 12	17830000.	0.4904	13.288	38.543	151.003	65.530	0.7351860	489.67	97.93	109.42	18
S/2003 J 15	22627000.	0.1899	18.405	58.865	146.492	236.674	0.5219082	689.78	187.83	105.37	18
S/2003 J 16	21097000.	0.2281	57.681	307.563	148.683	16.883	0.5779589	622.88	146.70	111.64	18
S/2003 J 18	20508000.	0.0895	130.894	202.160	146.077	158.247	0.6018719	598.13	506.86	131.88	18
S/2003 J 19	23533000.	0.2552	176.668	223.035	165.116	27.442	0.4862156	740.41	80.17	87.39	18
S/2003 J 23	23567000.	0.2746	255.114	144.222	146.424	41.706	0.4914942	732.46	130.10	92.90	18
S/2010 J 1	23449000.	0.2491	189.230	160.525	165.100	282.871	0.4887995	736.50	81.18	88.33	18
S/2010 J 2	21004000.	0.2267	18.252	312.074	148.673	5.802	0.5817371	618.84	147.06	112.35	18
S/2011 J 1	23446000.	0.2534	31.514	256.027	165.318	250.728	0.4888998	736.35	80.45	87.91	18
S/2011 J 2	23124000.	0.3493	270.154	285.597	153.597	24.866	0.5011321	718.37	87.78	87.00	18

Planet: Saturn
Epoch: 12*3600
Frame: Laplace

Mimas	185539.	0.0196	332.499	14.848	1.574	173.027	381.9944948	0.942	0.493	0.986	40.589	83.536	0.002	32
